borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
MANHATTAN,RANGEL,37,40.83321,-73.936474,37,982,984,"4,515.0",4.6,"2,141","2,141",339,0.357,8,0,"$2,373.00",$573.00,1,21,48,22,0.0912112197258679,0.308537538725987,0.30461138723269100
MANHATTAN,SAINT NICHOLAS,38,40.812114,-73.947946,38,"1,525","1,526","7,109.5",4.66,"3,426","3,426",533,0.358,13,0,"$2,891.00",$529.00,7,25,22,18,0.747507462453077,0.691462461274013,0.28551779685193300
BRONX,PELHAM PARKWAY,39,40.860562,-73.860946,39,"1,265","1,266","5,446.5",4.31,"2,472","2,472",528,0.422,23,0,"$2,806.00",$541.00,0,21,17,18,0.0477903522728147,0.691462461274013,0.28281110832191800
BRONX,GUN HILL,40,40.876046,-73.865832,40,732,733,"3,126.0",4.27,"1,470","1,470",283,0.391,6,0,"$2,784.00",$541.00,6,20,37,20,0.630558659818236,0.5,0.35701877611420500
MANHATTAN,DYCKMAN,41,40.861147,-73.922678,41,"1,167","1,167","5,054.5",4.33,"2,270","2,270",532,0.459,7,1,"$2,812.00",$543.00,4,30,27,19,0.369441340181764,0.598706325682924,0.41157521491298700
STATEN ISLAND,TODT HILL,42,40.60765,-74.119651,42,502,502,"2,174.0",4.33,"1,005","1,005",190,0.384,7,0,"$2,994.00",$579.00,1,1,1,17,0.0912112197258679,0.773372647623132,0.028245734998525000
BROOKLYN,NOSTRAND,43,40.596527,-73.936802,36,"1,146","1,148","4,966.0",4.33,"2,327","2,327",463,0.41,16,1,"$2,779.00",$516.00,2,9,13,19,0.158655253931457,0.598706325682924,0.15006716951880300
BROOKLYN,GLENWOOD,44,40.634948,-73.920863,44,"1,186","1,188","5,207.0",4.39,"2,512","2,512",404,0.344,20,0,"$2,475.00",$599.00,5,4,10,18,0.5,0.691462461274013,0.11751355416053800
BRONX,SEDGWICK,45,40.846603,-73.922526,45,783,786,"3,316.5",4.24,"1,457","1,457",341,0.439,7,0,"$2,529.00",$491.00,9,23,88,22,0.908788780274132,0.308537538725987,0.5721774688815360
BROOKLYN,BOULEVARD,46,40.660489,-73.881309,46,"1,424","1,441","5,992.0",4.21,"1,850","2,696",581,0.416,18,0,"$2,247.00",$518.00,4,17,30,21,0.369441340181764,0.401293674317076,0.2928947296970030
BRONX,PARKSIDE,47,40.868663,-73.869003,47,879,879,"3,712.5",4.22,"1,734","1,734",359,0.413,14,0,"$2,606.00",$506.00,6,13,28,19,0.630558659818236,0.598706325682924,0.29035929402795400
QUEENS,RAVENSWOOD,48,40.761277,-73.935457,48,"2,164","2,166","9,134.0",4.22,"4,278","4,278",871,0.406,31,0,"$2,342.00",$588.00,11,9,34,20,0.977249868051821,0.5,0.2600558253111270
